task_id,passed,input_tokens,output_tokens,total_tokens
HumanEval/5,PASS,120,223,343
HumanEval/50,PASS,120,259,379
HumanEval/51,PASS,141,313,454
HumanEval/52,PASS,107,175,282
HumanEval/53,PASS,76,105,181
HumanEval/54,PASS,177,3354,3531
HumanEval/55,PASS,74,913,987
HumanEval/56,PASS,120,199,319
HumanEval/57,PASS,111,1106,1217
HumanEval/58,PASS,139,144,283
HumanEval/59,PASS,86,2668,2754
HumanEval/6,PASS,140,317,457
HumanEval/60,PASS,114,3392,3506
HumanEval/61,PASS,120,263,383
HumanEval/62,FAIL,134,4735,4869
HumanEval/63,PASS,170,421,591
HumanEval/64,PASS,149,614,763
HumanEval/65,PASS,111,657,768
HumanEval/66,PASS,138,186,324
HumanEval/67,PASS,240,755,995
HumanEval/68,PASS,337,544,881
HumanEval/69,PASS,190,815,1005
HumanEval/7,PASS,119,82,201
HumanEval/70,PASS,149,1238,1387
HumanEval/71,PASS,146,256,402
HumanEval/72,PASS,253,131,384
HumanEval/73,PASS,180,493,673
HumanEval/74,PASS,220,823,1043
HumanEval/75,PASS,105,2640,2745
HumanEval/76,PASS,181,3772,3953
HumanEval/77,PASS,135,2826,2961
HumanEval/78,PASS,324,185,509
HumanEval/79,PASS,168,366,534
HumanEval/8,PASS,135,147,282
HumanEval/80,PASS,147,689,836
HumanEval/81,PASS,298,2541,2839
HumanEval/82,PASS,107,407,514
HumanEval/83,PASS,70,1521,1591
HumanEval/84,PASS,158,911,1069
HumanEval/85,PASS,80,375,455
HumanEval/86,PASS,159,1963,2122
HumanEval/87,PASS,285,1381,1666
HumanEval/88,PASS,228,204,432
HumanEval/89,PASS,136,833,969
HumanEval/9,PASS,124,555,679
HumanEval/90,PASS,155,370,525
HumanEval/91,PASS,133,1347,1480
HumanEval/92,PASS,160,1458,1618
HumanEval/93,PASS,134,1162,1296
HumanEval/94,PASS,311,3494,3805
HumanEval/95,PASS,205,1579,1784
HumanEval/96,PASS,170,336,506
HumanEval/97,PASS,123,180,303
HumanEval/98,PASS,102,266,368
HumanEval/99,PASS,181,2447,2628

=== SUMMARY ===,,,,
Model,
Total problems,164
Passed,158
pass@1,0.9634
Total input tokens,26723
Total output tokens,205750
Total tokens,232473
Avg input tokens/problem,162.9
Avg output tokens/problem,1254.6
Avg total tokens/problem,1417.5
