task_id,passed,input_tokens,output_tokens,total_tokens
HumanEval/163,FAIL,133,56,189
HumanEval/17,PASS,198,183,381
HumanEval/18,PASS,119,53,172
HumanEval/19,PASS,129,117,246
HumanEval/2,PASS,110,7,117
HumanEval/20,PASS,195,127,322
HumanEval/21,PASS,149,90,239
HumanEval/22,PASS,119,21,140
HumanEval/23,PASS,67,22,89
HumanEval/24,PASS,76,34,110
HumanEval/25,PASS,149,73,222
HumanEval/26,PASS,112,59,171
HumanEval/27,PASS,73,57,130
HumanEval/28,PASS,87,7,94
HumanEval/29,PASS,114,15,129
HumanEval/3,PASS,143,32,175
HumanEval/30,PASS,142,14,156
HumanEval/31,PASS,124,77,201
HumanEval/32,FAIL,288,253,541
HumanEval/33,PASS,178,89,267
HumanEval/34,PASS,98,6,104
HumanEval/35,PASS,105,47,152
HumanEval/36,PASS,105,47,152
HumanEval/37,PASS,151,87,238
HumanEval/38,PASS,186,109,295
HumanEval/39,PASS,117,177,294
HumanEval/4,PASS,141,58,199
HumanEval/40,PASS,191,132,323
HumanEval/41,PASS,179,5,184
HumanEval/42,PASS,137,12,149
HumanEval/43,PASS,182,34,216
HumanEval/44,PASS,116,105,221
HumanEval/45,PASS,70,10,80
HumanEval/46,PASS,193,105,298
HumanEval/47,PASS,99,63,162
HumanEval/48,PASS,102,15,117
HumanEval/49,PASS,125,80,205
HumanEval/5,PASS,120,40,160
HumanEval/50,PASS,120,33,153
HumanEval/51,PASS,141,43,184
HumanEval/52,PASS,107,21,128
HumanEval/53,PASS,76,5,81
HumanEval/54,FAIL,177,11,188
HumanEval/55,PASS,74,72,146
HumanEval/56,PASS,120,58,178
HumanEval/57,PASS,111,111,222
HumanEval/58,PASS,139,12,151
HumanEval/59,FAIL,86,48,134
HumanEval/6,PASS,140,119,259
HumanEval/60,PASS,114,28,142
HumanEval/61,PASS,120,57,177
HumanEval/62,PASS,134,48,182
HumanEval/63,PASS,170,80,250
HumanEval/64,PASS,149,77,226
HumanEval/65,PASS,111,58,169
HumanEval/66,PASS,138,16,154
HumanEval/67,PASS,240,43,283
HumanEval/68,PASS,337,97,434
HumanEval/69,PASS,190,71,261
HumanEval/7,PASS,119,13,132
HumanEval/70,PASS,149,41,190
HumanEval/71,PASS,146,82,228
HumanEval/72,PASS,253,14,267
HumanEval/73,PASS,180,48,228
HumanEval/74,PASS,220,60,280
HumanEval/75,PASS,105,140,245
HumanEval/76,PASS,181,52,233
HumanEval/77,FAIL,135,56,191
HumanEval/78,PASS,324,51,375
HumanEval/79,PASS,168,60,228
HumanEval/8,PASS,135,51,186
HumanEval/80,PASS,147,68,215
HumanEval/81,PASS,298,268,566
HumanEval/82,PASS,107,56,163
HumanEval/83,FAIL,70,96,166
HumanEval/84,PASS,158,22,180
HumanEval/85,PASS,80,46,126
HumanEval/86,PASS,159,82,241
HumanEval/87,FAIL,285,52,337
HumanEval/88,PASS,228,62,290
HumanEval/89,PASS,136,73,209
HumanEval/9,PASS,124,47,171
HumanEval/90,PASS,155,49,204
HumanEval/91,PASS,133,109,242
HumanEval/92,PASS,160,48,208
HumanEval/93,PASS,134,118,252
HumanEval/94,FAIL,311,56,367
HumanEval/95,PASS,205,142,347
HumanEval/96,PASS,170,76,246
HumanEval/97,PASS,123,19,142
HumanEval/98,PASS,102,49,151
HumanEval/99,PASS,181,40,221

=== SUMMARY ===,,,,
Model,
Total problems,164
Passed,148
pass@1,0.9024
Total input tokens,26723
Total output tokens,11284
Total tokens,38007
Avg input tokens/problem,162.9
Avg output tokens/problem,68.8
Avg total tokens/problem,231.8
